asset_name,asset_id,asset_type,asset_link,asset_parent_id,publication_date,asset parent id,Parent asset type,Asset Agency,Parent Agency,FoundationalorNot,Vparent,All_Asset,asset_cnt,Sparent
(To be retired) Data Requests by Status / Month,vqzx-2f78,chart,https://data.wa.gov/dataset/-To-be-retired-Data-Requests-by-Status-Month/vqzx-2f78,5piy-sp8f,07/19/2013 12:00:00 AM,5piy-sp8f,parent asset is private or deleted,"Fish and Wildlife, Department of (DFW)",parent asset is private or deleted,Derivative,0,1,25,0
(To be retired) Cumulative Data Sets Delivered - By Month,vq4v-ge6r,chart,https://data.wa.gov/dataset/-To-be-retired-Cumulative-Data-Sets-Delivered-By-M/vq4v-ge6r,5piy-sp8f,07/19/2013 12:00:00 AM,5piy-sp8f,parent asset is private or deleted,"Fish and Wildlife, Department of (DFW)",parent asset is private or deleted,Derivative,0,1,26,0
Better Brakes - Baseline Dataset,i7iu-f74k,dataset,https://data.wa.gov/Natural-Resources-Environment/Better-Brakes-Baseline-Dataset/i7iu-f74k,,07/23/2013 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,27,0
Chinook 1974 - 2012,nd7a-r8u8,chart,https://data.wa.gov/Natural-Resources-Environment/Chinook-1974-2012/nd7a-r8u8,9mju-mxty,10/07/2013 12:00:00 AM,9mju-mxty,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)",Derivative,0,1,28,0
Salmon Sport Harvest 1998-2012,vc2g-vmqt,chart,https://data.wa.gov/Natural-Resources-Environment/Salmon-Sport-Harvest-1998-2012/vc2g-vmqt,9mju-mxty,10/07/2013 12:00:00 AM,9mju-mxty,dataset,Washington State Technology Solutions (CTS),"Fish and Wildlife, Department of (DFW)",Derivative,0,1,29,0
Washington Anadromous Fish Harvest Data 1974 - 2012,9mju-mxty,dataset,https://data.wa.gov/Natural-Resources-Environment/Washington-Anadromous-Fish-Harvest-Data-1974-2012/9mju-mxty,,10/07/2013 12:00:00 AM,,,"Fish and Wildlife, Department of (DFW)",,Foundational,1,1,30,0
WA RCO SCORP 2013 Dataset Part 1 of 7,irc2-87d5,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Dataset-Part-1-of-7/irc2-87d5,,10/24/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,31,0
WA RCO SCORP 2013 Dataset Part 6 of 7,8wih-9h9v,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Dataset-Part-6-of-7/8wih-9h9v,,10/31/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,32,0
WA RCO SCORP 2013 Dataset Part 2 of 7,9tkb-7qab,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Dataset-Part-2-of-7/9tkb-7qab,,10/31/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,33,0
WA RCO SCORP 2013 Field Definitions,yr5j-kyei,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Field-Definitions/yr5j-kyei,,10/31/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,34,0
WA RCO SCORP 2013 Dataset Part 4 of 7,q57g-ay7d,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Dataset-Part-4-of-7/q57g-ay7d,,10/31/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,35,0
WA RCO SCORP 2013 Dataset Part 3 of 7,i278-it6c,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Dataset-Part-3-of-7/i278-it6c,,10/31/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,36,0
WA RCO SCORP 2013 Dataset Part 7 of 7,mpxt-wffm,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Dataset-Part-7-of-7/mpxt-wffm,,10/31/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,37,0
WA RCO SCORP 2013 Dataset Part 5 of 7,ydb3-3dnq,dataset,https://data.wa.gov/Recreation/WA-RCO-SCORP-2013-Dataset-Part-5-of-7/ydb3-3dnq,,10/31/2013 12:00:00 AM,,,Recreation and Conservation Office (RCO),,Foundational,0,1,38,0
Historical Drought Permit Locations,hhjh-rgd2,map,https://data.wa.gov/Natural-Resources-Environment/Historical-Drought-Permit-Locations/hhjh-rgd2,w9k2-96gh,02/14/2014 12:00:00 AM,w9k2-96gh,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,39,0
Historical Drought Permits -- Washington State,w9k2-96gh,dataset,https://data.wa.gov/Natural-Resources-Environment/Historical-Drought-Permits-Washington-State/w9k2-96gh,,02/14/2014 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,40,0
WQI - Hood Canal,syiw-nuu5,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Hood-Canal/syiw-nuu5,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,41,0
WQI-Puget Sound,a7f7-bq4u,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Puget-Sound/a7f7-bq4u,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,42,0
WQI - Middle Columbia,d5xq-sbq7,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Middle-Columbia/d5xq-sbq7,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,43,0
WQI-Washington Coast,k3q3-prmt,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Washington-Coast/k3q3-prmt,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,44,0
Water Resource Inventory Areas (WRIA)  -- Washington State,fwgq-q5ti,map,https://data.wa.gov/Natural-Resources-Environment/Water-Resource-Inventory-Areas-WRIA-Washington-Sta/fwgq-q5ti,,04/28/2014 12:00:00 AM,,,"Ecology, Department of (ECY)",,Derivative,0,1,45,0
test view,n93e-32bj,map,https://data.wa.gov/Natural-Resources-Environment/test-view/n93e-32bj,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,46,0
WQI-Northeast,bre7-ycv8,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Northeast/bre7-ycv8,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,47,0
WQI-Snake-River,gisz-hhyx,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Snake-River/gisz-hhyx,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,48,0
Annual 2013 WQI scores from Ecology's long term ambient monitoring stations with Salmon Recovery Regions,scyf-iix8,map,https://data.wa.gov/Natural-Resources-Environment/Annual-2013-WQI-scores-from-Ecology-s-long-term-am/scyf-iix8,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,49,0
Annual 2013 Water Quality Index Scores,h7j9-vgr3,dataset,https://data.wa.gov/Natural-Resources-Environment/Annual-2013-Water-Quality-Index-Scores/h7j9-vgr3,,04/28/2014 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,50,0
Average Annual WQI Scores (1994-2013) at WA Department of Ecology's Long Term Ambient Monitoring Stations.,9ewh-76mt,map,https://data.wa.gov/Natural-Resources-Environment/Average-Annual-WQI-Scores-1994-2013-at-WA-Departme/9ewh-76mt,k5fe-2e4s,04/28/2014 12:00:00 AM,k5fe-2e4s,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,51,0
WQI - Lower Columbia,fq6z-fmep,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Lower-Columbia/fq6z-fmep,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,52,0
Water Quality Index Scores (1994-2013) from The WA State Department of Ecology's River and Stream Monitoring Program.,k5fe-2e4s,dataset,https://data.wa.gov/Natural-Resources-Environment/Water-Quality-Index-Scores-1994-2013-from-The-WA-S/k5fe-2e4s,,04/28/2014 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,53,0
WQI - Statewide,wnxa-5v7e,chart,https://data.wa.gov/Natural-Resources-Environment/WQI-Statewide/wnxa-5v7e,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,54,0
Annual 2013 WQI scores from Ecology's long term ambient monitoring stations.,nv8a-ueib,map,https://data.wa.gov/Natural-Resources-Environment/Annual-2013-WQI-scores-from-Ecology-s-long-term-am/nv8a-ueib,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,55,0
WQI-Upper Columbia River,64wy-7nf7,map,https://data.wa.gov/Natural-Resources-Environment/WQI-Upper-Columbia-River/64wy-7nf7,h7j9-vgr3,04/28/2014 12:00:00 AM,h7j9-vgr3,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,56,0
WQI Parameter Scores 1994-2013,dn4d-x42e,dataset,https://data.wa.gov/Natural-Resources-Environment/WQI-Parameter-Scores-1994-2013/dn4d-x42e,,04/29/2014 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,0,1,57,0
Map of Watershed Health Monitoring - Statewide Probability Sample (2009-2012),iama-739a,map,https://data.wa.gov/Natural-Resources-Environment/Map-of-Watershed-Health-Monitoring-Statewide-Proba/iama-739a,h4ip-8hec,05/14/2014 12:00:00 AM,h4ip-8hec,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,58,0
NE Wash. & Upper Columbia STRs random sites (2012),muyg-7me5,map,https://data.wa.gov/Natural-Resources-Environment/NE-Wash-Upper-Columbia-STRs-random-sites-2012-/muyg-7me5,h4ip-8hec,05/14/2014 12:00:00 AM,h4ip-8hec,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,59,0
Puget Sound STR random sites (2009),ccap-9igu,map,https://data.wa.gov/Natural-Resources-Environment/Puget-Sound-STR-random-sites-2009-/ccap-9igu,h4ip-8hec,05/14/2014 12:00:00 AM,h4ip-8hec,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,60,0
Map of Watershed Health Monitoring: Selected Metrics from the Upper Columbia Through 2013,9h8u-ctsr,map,https://data.wa.gov/Natural-Resources-Environment/Map-of-Watershed-Health-Monitoring-Selected-Metric/9h8u-ctsr,jhtx-qxim,05/14/2014 12:00:00 AM,jhtx-qxim,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,61,0
Coastal and Lower Columbia STRs random sites (2010),twsd-tsxw,map,https://data.wa.gov/Natural-Resources-Environment/Coastal-and-Lower-Columbia-STRs-random-sites-2010-/twsd-tsxw,h4ip-8hec,05/14/2014 12:00:00 AM,h4ip-8hec,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,62,0
Upper Columbia 2012: PCT SandFines Histogram,jb7q-d85z,chart,https://data.wa.gov/Natural-Resources-Environment/Upper-Columbia-2012-PCT-SandFines-Histogram/jb7q-d85z,66za-bpc8,05/16/2014 12:00:00 AM,66za-bpc8,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,63,0
Data Dictionary - Statewide Probability Sample (2009-2012),p3d3-b2zu,file,https://data.wa.gov/Natural-Resources-Environment/Data-Dictionary-Statewide-Probability-Sample-2009-/p3d3-b2zu,,05/16/2014 12:00:00 AM,,,"Ecology, Department of (ECY)",,Derivative,0,1,64,0
Upper Columbia 2012: BIBI Histogram,qg36-fssx,chart,https://data.wa.gov/Natural-Resources-Environment/Upper-Columbia-2012-BIBI-Histogram/qg36-fssx,sjs9-q69w,05/16/2014 12:00:00 AM,sjs9-q69w,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,65,0
Data Dictionary Selected Metrics in Upper Columbia through 2013,6xt2-phwm,file,https://data.wa.gov/Natural-Resources-Environment/Data-Dictionary-Selected-Metrics-in-Upper-Columbia/6xt2-phwm,,05/16/2014 12:00:00 AM,,,"Ecology, Department of (ECY)",,Derivative,0,1,66,0
Upper Columbia 2012: LWDSiteVolume100m Histogram,kmpx-ezrh,chart,https://data.wa.gov/Natural-Resources-Environment/Upper-Columbia-2012-LWDSiteVolume100m-Histogram/kmpx-ezrh,a6d8-msj5,05/19/2014 12:00:00 AM,a6d8-msj5,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,67,0
Upper Columbia 2012: ResPoolArea100 Histogram,ahe2-i7da,chart,https://data.wa.gov/Natural-Resources-Environment/Upper-Columbia-2012-ResPoolArea100-Histogram/ahe2-i7da,66z5-f756,05/19/2014 12:00:00 AM,66z5-f756,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,68,0
Upper Columbia 2012: X DensioBank Histogram,dygw-v7c9,chart,https://data.wa.gov/Natural-Resources-Environment/Upper-Columbia-2012-X-DensioBank-Histogram/dygw-v7c9,6698-gep7,05/19/2014 12:00:00 AM,6698-gep7,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,69,0
March 2014 WQ Violations,8fru-uzs6,map,https://data.wa.gov/dataset/March-2014-WQ-Violations/8fru-uzs6,txra-bsgd,05/21/2014 12:00:00 AM,txra-bsgd,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,70,0
Superfund Sites,23d3-v4ba,filter,https://data.wa.gov/Natural-Resources-Environment/Superfund-Sites/23d3-v4ba,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,71,0
MTCA,b9iy-rshy,map,https://data.wa.gov/Natural-Resources-Environment/MTCA/b9iy-rshy,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,72,0
Kenmore waterfront,xiqj-45bf,map,https://data.wa.gov/Natural-Resources-Environment/Kenmore-waterfront/xiqj-45bf,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,73,0
Cleanup Site Map,e239-pe5z,map,https://data.wa.gov/Natural-Resources-Environment/Cleanup-Site-Map/e239-pe5z,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,74,0
Cleanup Sites By County,s4ak-zfv9,chart,https://data.wa.gov/Natural-Resources-Environment/Cleanup-Sites-By-County/s4ak-zfv9,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,75,0
Institutional Controls or Environmental Covenants Map,fntr-5ajf,map,https://data.wa.gov/Natural-Resources-Environment/Institutional-Controls-or-Environmental-Covenants-/fntr-5ajf,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,76,0
1472 WA Cleanup Sites,vuxe-zkgc,map,https://data.wa.gov/Natural-Resources-Environment/1472-WA-Cleanup-Sites/vuxe-zkgc,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,77,0
Elliot Bay,9xsr-tz9m,map,https://data.wa.gov/Natural-Resources-Environment/Elliot-Bay/9xsr-tz9m,vtkh-65is,05/28/2014 12:00:00 AM,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,78,0
Top WA Jobs - King County vs Rest of the State - April 2014,an8w-eri3,chart,https://data.wa.gov/Economics/Top-WA-Jobs-King-County-vs-Rest-of-the-State-April/an8w-eri3,jxh8-8i6p,06/12/2014 12:00:00 AM,jxh8-8i6p,parent asset is private or deleted,"Employment Security, Department of (ESD)",parent asset is private or deleted,Derivative,0,1,79,0
Low Flow Conditioned Water Rights Map,bvfs-erhf,map,https://data.wa.gov/dataset/Low-Flow-Conditioned-Water-Rights-Map/bvfs-erhf,djz9-i465,08/05/2014 12:00:00 AM,djz9-i465,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,80,0
WQUAN-Hood Canal,mz6u-izgp,map,https://data.wa.gov/Natural-Resources-Environment/WQUAN-Hood-Canal/mz6u-izgp,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,81,0
WQUAN-Snake River,cgyr-atrn,map,https://data.wa.gov/Natural-Resources-Environment/WQUAN-Snake-River/cgyr-atrn,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,82,0
State Map Percent Trend with Salmon Recovery Region Boundaries,ekqp-bfke,map,https://data.wa.gov/Natural-Resources-Environment/State-Map-Percent-Trend-with-Salmon-Recovery-Regio/ekqp-bfke,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,83,0
WRIA 1-4 Stations,3mda-ymgy,map,https://data.wa.gov/Natural-Resources-Environment/WRIA-1-4-Stations/3mda-ymgy,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,Recreation and Conservation Office (RCO),"Ecology, Department of (ECY)",Derivative,0,1,84,0
WQUAN-Puget Sound,gxyp-49kf,map,https://data.wa.gov/Natural-Resources-Environment/WQUAN-Puget-Sound/gxyp-49kf,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,85,0
Percent low flow trend 1975-2013 - State Map,kp4i-3mdm,map,https://data.wa.gov/Natural-Resources-Environment/Percent-low-flow-trend-1975-2013-State-Map/kp4i-3mdm,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,86,0
WQUAN-Lower Columbia,84sk-uvcj,map,https://data.wa.gov/Natural-Resources-Environment/WQUAN-Lower-Columbia/84sk-uvcj,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,87,0
WQUAN-Middle Columbia,nua6-c78p,map,https://data.wa.gov/Natural-Resources-Environment/WQUAN-Middle-Columbia/nua6-c78p,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,88,0
Low Flow Trend 1975-2013 - Percent change by station,ty2s-4gdy,chart,https://data.wa.gov/Natural-Resources-Environment/Low-Flow-Trend-1975-2013-Percent-change-by-station/ty2s-4gdy,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,89,0
WQUAN-Coast,8gye-fsha,map,https://data.wa.gov/Natural-Resources-Environment/WQUAN-Coast/8gye-fsha,hdw4-yhs4,09/23/2014 12:00:00 AM,hdw4-yhs4,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,90,0
